[33],[109],[26],[0],[35],[137]
[44],[447],[165],[36],[102],[706]
[55],[6926],[1792],[320],[1157],[10140]
[60],[4133],[1583],[187],[767],[6610]
[10],[36],[1],[0],[10],[37]
[20],[77],[14],[0],[20],[91]
[30],[91],[18],[2],[30],[111]
[20],[90],[12],[0],[23],[105]
[45],[173],[27],[10],[49],[214]
[45],[3998],[1150],[190],[687],[5980]
[55],[4382],[1202],[508],[789],[6826]
[40],[169],[46],[11],[49],[235]
[40],[186],[38],[8],[48],[240]
[70],[2585],[1250],[140],[532],[4437]
[35],[130],[29],[2],[39],[165]
[60],[128618],[83848],[2419],[26889],[241714]
[50],[436],[140],[15],[99],[640]
[34],[281],[56],[5],[59],[367]
[40],[603],[144],[19],[116],[842],[882]
[40],[123],[38],[8],[44],[173],[213]
[20],[74],[15],[0],[22],[91],[324]
[45],[276],[67],[8],[66],[372],[417]
[45],[1784],[388],[304],[304],[2511],[2556]
[45],[279],[86],[32],[74],[426],[471]
[54],[11796],[2597],[674],[1911],[16924],[16978]
[9],[30],[0],[0],[9],[30],[39]
[23],[73],[19],[0],[24],[93],[116]
[60],[645457],[140665],[36057],[102804],[924923],[924983]
[56],[8836],[1898],[697],[1456],[12831],[12887]
[40],[324],[73],[12],[71],[440],[480]
